Recipe1,Recipe2,Similarity
6,1028,0.9391329288482666
70,1560,0.9897652268409729
86,1469,0.9999998807907104
117,1272,0.9236599206924438
145,1253,0.9220331311225891
160,802,0.9481028914451599
207,437,1.0000001192092896
236,380,0.9276120066642761
272,1262,0.9134916067123413
295,401,0.9727429747581482
344,481,0.9036513566970825
371,1457,0.913875162601471
387,1547,0.9136545658111572
436,912,0.9367809891700745
586,1792,1.0
666,786,0.9297025799751282
672,1885,0.9524309039115906
690,1688,0.9230903387069702
723,1281,0.9699795842170715
747,1363,0.9402642846107483
762,1106,0.9118649959564209
880,1797,1.0000001192092896
956,1910,0.9125626087188721
1023,1818,0.9999999403953552
1092,1105,0.9022525548934937
1101,1232,1.0
1106,1389,0.9324434995651245
1237,1245,0.9025985598564148
1480,1545,0.9193123579025269
1798,1843,0.9001806974411011
